Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-07-07,1457.7,1469.95,1443.8,1452.9,1453.03,6195.0,358.0,9001538.0,2658.0,42.91,26.15,-4.8
2017-07-06,1454.8,1460.8,1439.2,1445.75,1455.67,105765.0,414.0,153958432.0,2000.0,1.89,21.6,-9.05
2017-07-05,1449.05,1473.5,1432.55,1438.2,1439.6,7386.0,665.0,10632853.0,2264.0,30.65,40.95,-10.85
2017-07-04,1450.0,1470.0,1446.05,1449.9,1453.46,1823.0,262.0,2649665.0,620.0,34.01,23.95,-0.1
2017-07-03,1454.0,1470.95,1437.0,1448.65,1454.09,71313.0,522.0,103695790.0,66796.0,93.67,33.95,-5.35
2017-06-30,1419.25,1460.0,1411.25,1451.1,1448.47,4764.0,529.0,6900488.0,1390.0,29.18,48.75,31.85
2017-06-29,1458.0,1479.0,1435.0,1439.8,1459.98,8416.0,804.0,12287156.0,1993.0,23.68,44.0,-18.2
2017-06-28,1443.0,1458.0,1425.8,1452.4,1443.19,5662.0,892.0,8171340.0,1423.0,25.13,32.2,9.4
2017-06-27,1445.0,1457.0,1428.85,1442.95,1442.17,9015.0,1135.0,13001118.0,2740.0,30.39,28.15,-2.05
2017-06-23,1500.35,1503.0,1430.2,1440.55,1454.96,10963.0,1256.0,15950701.0,3068.0,27.99,72.8,-59.8
2017-06-22,1515.0,1528.0,1481.0,1486.3,1503.56,8129.0,661.0,12222465.0,2879.0,35.42,47.0,-28.7
2017-06-21,1524.95,1556.95,1500.2,1506.3,1527.71,29607.0,2029.0,45230951.0,6226.0,21.03,56.75,-18.65
2017-06-20,1514.0,1520.0,1491.0,1495.55,1502.56,5648.0,597.0,8486462.0,2143.0,37.94,29.0,-18.45
2017-06-19,1511.2,1538.1,1497.0,1507.25,1517.72,11171.0,973.0,16954469.0,2476.0,22.16,41.1,-3.95
2017-06-16,1510.0,1524.0,1500.0,1511.2,1509.47,7530.0,865.0,11366330.0,3053.0,40.54,24.0,1.2
2017-06-15,1454.05,1523.8,1454.05,1505.15,1484.16,27241.0,835.0,40430062.0,19959.0,73.27,69.75,51.1
2017-06-14,1469.55,1470.25,1452.0,1457.4,1460.79,7306.0,572.0,10672497.0,4149.0,56.79,18.25,-12.15
2017-06-13,1484.0,1484.0,1452.5,1458.7,1468.85,7270.0,656.0,10678559.0,3424.0,47.1,31.5,-25.3
2017-06-12,1458.0,1491.6,1448.0,1462.95,1469.15,13411.0,1188.0,19702802.0,1651.0,12.31,43.6,4.95
2017-06-09,1482.0,1482.0,1441.6,1456.7,1464.69,10229.0,899.0,14982303.0,3311.0,32.37,40.4,-25.3
2017-06-08,1398.0,1500.0,1398.0,1472.95,1460.81,13496.0,1012.0,19715129.0,4023.0,29.81,102.0,74.95
2017-06-07,1410.05,1452.7,1400.15,1423.6,1426.07,13491.0,1200.0,19239121.0,1268.0,9.4,52.55,13.55
2017-06-06,1451.4,1451.4,1376.5,1417.85,1411.51,9418.0,982.0,13293636.0,1654.0,17.56,74.9,-33.55
2017-06-05,1443.95,1450.0,1438.0,1444.75,1444.91,4504.0,399.0,6507877.0,1283.0,28.49,12.0,0.8
2017-06-02,1460.0,1466.7,1437.65,1448.95,1448.01,505148.0,395.0,731460471.0,1737.0,0.34,29.05,-11.05
2017-06-01,1469.6,1469.6,1435.15,1444.9,1452.85,3841.0,387.0,5580394.0,1105.0,28.77,34.45,-24.7
2017-05-31,1471.1,1478.35,1455.0,1459.65,1466.02,4016.0,306.0,5887543.0,1378.0,34.31,23.35,-11.45
2017-05-30,1467.6,1481.0,1440.3,1453.45,1462.77,4279.0,502.0,6259197.0,1086.0,25.38,40.7,-14.15
2017-05-29,1551.0,1551.0,1456.25,1467.55,1472.95,9325.0,655.0,13735263.0,3988.0,42.77,94.75,-83.45
2017-05-26,1470.6,1509.2,1468.4,1478.4,1496.9,48726.0,671.0,72938119.0,44406.0,91.13,40.8,7.8
2017-05-25,1471.75,1505.85,1453.0,1478.4,1481.94,12756.0,1466.0,18903664.0,1437.0,11.27,52.85,6.65
2017-05-24,1464.05,1522.9,1449.85,1470.4,1486.64,20068.0,1977.0,29833952.0,2960.0,14.75,73.05,6.35
2017-05-23,1506.4,1518.9,1449.95,1454.65,1461.99,11049.0,1415.0,16153566.0,2599.0,23.52,68.95,-51.75
2017-05-22,1533.0,1546.1,1494.4,1499.4,1509.56,7052.0,804.0,10645390.0,1602.0,22.72,51.7,-33.6
2017-05-19,1506.95,1557.6,1506.95,1527.65,1537.38,10662.0,1168.0,16391536.0,3297.0,30.92,50.65,20.7
2017-05-18,1558.0,1558.0,1481.5,1504.7,1526.82,9011.0,962.0,13758212.0,3023.0,33.55,76.5,-53.3
2017-05-17,1544.95,1585.0,1544.95,1560.6,1568.08,12502.0,1097.0,19604134.0,4393.0,35.14,40.05,15.65
2017-05-16,1562.0,1565.0,1535.0,1546.0,1551.66,14650.0,1078.0,22731813.0,4541.0,31.0,30.0,-16.0
2017-05-15,1550.0,1573.9,1526.55,1563.75,1553.1,15725.0,1488.0,24422535.0,3622.0,23.03,47.35,13.75
2017-05-12,1545.0,1568.9,1533.9,1546.15,1551.84,24658.0,1849.0,38265328.0,3976.0,16.12,35.0,1.15
2017-05-11,1600.05,1601.0,1518.9,1529.0,1545.2,39153.0,2900.0,60499228.0,9547.0,24.38,82.1,-71.05
2017-05-10,1543.0,1619.45,1532.0,1598.8,1587.37,135180.0,7407.0,214580544.0,26229.0,19.4,87.45,55.8
2017-05-09,1413.0,1595.0,1403.95,1537.8,1547.78,220420.0,15149.0,341161429.0,32226.0,14.62,191.05,124.8
2017-05-08,1422.0,1445.0,1391.1,1401.75,1425.91,14159.0,1255.0,20189414.0,3714.0,26.23,53.9,-20.25
2017-05-05,1422.55,1441.5,1406.95,1412.3,1423.77,5180.0,645.0,7375133.0,2020.0,39.0,34.55,-10.25
2017-05-04,1418.0,1427.0,1417.9,1422.9,1424.04,4811.0,950.0,6851076.0,3326.0,69.13,9.1,4.9
2017-05-03,1420.0,1434.95,1410.0,1419.9,1422.47,4681.0,547.0,6658586.0,2163.0,46.21,24.95,-0.1
2017-05-02,1421.2,1424.0,1404.0,1410.6,1415.58,3305.0,444.0,4678506.0,1090.0,32.98,20.0,-10.6
2017-04-28,1396.0,1421.75,1390.0,1410.45,1402.56,4707.0,384.0,6601839.0,1152.0,24.47,31.75,14.45
2017-04-27,1424.0,1426.75,1401.0,1409.1,1420.94,9684.0,1129.0,13760362.0,5437.0,56.14,25.75,-14.9
2017-04-26,1410.05,1440.0,1410.05,1424.6,1428.59,6381.0,693.0,9115854.0,2123.0,33.27,29.95,14.55
2017-04-25,1399.0,1431.0,1399.0,1413.05,1420.37,6965.0,1171.0,9892859.0,2539.0,36.45,32.0,14.05
2017-04-24,1401.0,1411.0,1391.0,1398.25,1402.25,3067.0,315.0,4300696.0,1568.0,51.12,20.0,-2.75
2017-04-21,1405.0,1425.0,1395.0,1401.6,1403.87,2151.0,410.0,3019730.0,969.0,45.05,30.0,-3.4
2017-04-20,1414.0,1426.55,1395.0,1404.95,1411.31,4601.0,552.0,6493457.0,1129.0,24.54,31.55,-9.05
2017-04-19,1409.95,1439.95,1405.0,1410.4,1419.65,3270.0,476.0,4642268.0,838.0,25.63,34.95,0.45
2017-04-18,1446.25,1482.25,1396.05,1410.95,1450.06,15631.0,1869.0,22665868.0,3759.0,24.05,86.2,-35.3
2017-04-17,1431.15,1467.35,1430.0,1451.9,1451.55,11983.0,1560.0,17393867.0,3615.0,30.17,37.35,20.75
2017-04-13,1448.75,1467.65,1443.85,1455.3,1455.02,8283.0,1070.0,12051972.0,1894.0,22.87,23.8,6.55
2017-04-12,1444.0,1461.0,1436.05,1457.75,1450.64,13168.0,1036.0,19101980.0,4200.0,31.9,24.95,13.75
2017-04-11,1400.05,1455.0,1400.05,1447.0,1441.7,18004.0,1863.0,25956452.0,4965.0,27.58,54.95,46.95
2017-04-10,1374.55,1459.7,1360.0,1407.95,1426.95,37300.0,3550.0,53225359.0,7581.0,20.32,99.7,33.4
2017-04-07,1298.0,1393.0,1298.0,1380.55,1349.66,27447.0,2439.0,37044242.0,12666.0,46.15,95.0,82.55
2017-04-06,1320.0,1327.0,1296.15,1300.7,1309.18,6542.0,728.0,8564666.0,3104.0,47.45,30.85,-19.3
2017-04-05,1318.0,1330.0,1308.0,1323.05,1321.34,8025.0,954.0,10603782.0,3433.0,42.78,22.0,5.05
2017-04-03,1283.0,1330.0,1280.7,1319.95,1305.79,15990.0,1660.0,20879539.0,7190.0,44.97,49.3,36.95
2017-03-31,1247.15,1292.9,1244.0,1279.65,1268.63,15897.0,1598.0,20167338.0,4139.0,26.04,48.9,32.5
2017-03-30,1214.95,1271.0,1203.25,1262.25,1244.62,24516.0,3116.0,30513105.0,7747.0,31.6,67.75,47.3
2017-03-29,1194.0,1222.0,1185.7,1212.05,1212.73,8064.0,1059.0,9779451.0,2648.0,32.84,36.3,18.05
2017-03-28,1194.95,1195.2,1182.1,1190.65,1189.74,3450.0,512.0,4104619.0,2178.0,63.13,13.1,-4.3
2017-03-27,1195.0,1200.0,1180.5,1183.3,1186.85,6093.0,754.0,7231465.0,3820.0,62.69,19.5,-11.7
2017-03-24,1192.0,1205.0,1186.4,1193.75,1195.11,4811.0,700.0,5749671.0,2501.0,51.99,18.6,1.75
2017-03-23,1199.0,1199.95,1190.0,1192.65,1194.54,2100.0,423.0,2508533.0,886.0,42.19,9.95,-6.35
2017-03-22,1197.0,1200.0,1181.95,1185.55,1189.59,11348.0,1300.0,13499452.0,5883.0,51.84,18.05,-11.45
2017-03-21,1212.55,1216.0,1190.55,1194.2,1197.36,4377.0,622.0,5240851.0,2363.0,53.99,25.45,-18.35
2017-03-20,1216.0,1221.5,1208.0,1211.15,1213.76,2070.0,331.0,2512487.0,796.0,38.45,13.5,-4.85
2017-03-17,1201.0,1222.0,1201.0,1212.85,1211.96,6537.0,729.0,7922557.0,3272.0,50.05,21.0,11.85
2017-03-16,1217.0,1226.5,1205.05,1207.8,1214.6,4119.0,680.0,5002930.0,1054.0,25.59,21.45,-9.2
2017-03-15,1201.0,1225.0,1201.0,1206.85,1210.63,8984.0,1269.0,10876285.0,2849.0,31.71,24.0,5.85
2017-03-14,1194.0,1219.25,1190.0,1198.75,1200.71,11804.0,1089.0,14173134.0,7677.0,65.04,29.25,4.75
2017-03-10,1208.0,1210.0,1178.0,1193.3,1196.54,2748.0,362.0,3288104.0,1572.0,57.21,32.0,-14.7
2017-03-09,1206.9,1206.9,1191.5,1194.3,1199.3,3459.0,508.0,4148385.0,1388.0,40.13,15.4,-12.6
2017-03-08,1190.0,1225.0,1187.55,1200.8,1205.77,11784.0,1538.0,14208763.0,3560.0,30.21,37.45,10.8
2017-03-07,1209.9,1226.7,1201.3,1208.65,1213.07,3597.0,588.0,4363399.0,1228.0,34.14,25.4,-1.25
2017-03-06,1231.6,1236.0,1195.0,1201.6,1213.86,3975.0,618.0,4825080.0,1777.0,44.7,41.0,-30.0
2017-03-03,1215.0,1231.2,1210.1,1226.05,1222.0,6176.0,767.0,7547067.0,2079.0,33.66,21.1,11.05
2017-03-02,1243.95,1243.95,1201.05,1207.25,1221.72,10897.0,1426.0,13313105.0,4258.0,39.07,42.9,-36.7
2017-03-01,1207.0,1243.0,1197.0,1235.2,1225.46,15231.0,1807.0,18664991.0,5090.0,33.42,46.0,28.2
2017-02-28,1207.0,1215.0,1195.0,1199.9,1204.33,6516.0,1204.0,7847404.0,2569.0,39.43,20.0,-7.1
